Keys	English	Français [fr]	Español [es]	Deutsch [de]	Nederlands [nl]	Italiano [it]	Português do Brasil [pt-BR]	Русский [ru]	简体中文 [zh-CN]	繁体中文 [zh-TW]	日本語 [ja]	한국어 [ko]	Svenska [sv]	Polski [pl]	Türkçe [tr]
Orbs/armor_discard	Restores <color="purple">Armor</color> by <color="purple">{[ARMOR_DISCARD]}</color> if discarded	Restaure l'<color="purple">Armure</color> de <color="purple">{[ARMOR_DISCARD]}</color> si défaussée.		Stellt beim Abwerfen <color="purple">{[ARMOR_DISCARD]}</color> <color="purple">Rüstung</color> wieder her				Восстанавливает <color="purple">Броню</color> на <color="purple">{[ARMOR_DISCARD]}</color> при выбрасывании шара	当这颗弹珠被跳过时，恢复<color="purple">{[ARMOR_DISCARD]}</color>点<color="purple">护甲</color>	當這顆彈珠被跳過時，恢復<color="purple">{[ARMOR_DISCARD]}</color>點<color="purple">護甲</color>					
Orbs/armor_damage_discard_multiplier	Discard to transfer multiplier to the next orb. Takes away all <color="purple">Armor</color> and damages you for <style=damage>{[DISCARD_DAMAGE]}</style>	Défausser pour transférer le multiplicateur à la prochaine orbe. Retire toute l'<color="purple">Armure</color> puis vous inflige <style=damage>{[DISCARD_DAMAGE]}</style> dégâts.		Überträgt beim Abwerfen den Faktor auf das nächste Orb. Entfernt alle <color="purple">Rüstung</color> und fügt dir <style=damage>{[DISCARD_DAMAGE]}</style> Schaden zu				При выкидывании перекидывает весь множитель на следующий шар. Убирает всю <color="purple">Броню</color> и наносит урон в размере <style=damage>{[DISCARD_DAMAGE]}</style>	当这颗弹珠被跳过时，将其伤害倍率加成转移到下一颗弹珠上。清除所有<color="purple">护甲</color>，并对自身造成<style=damage>{[DISCARD_DAMAGE]}</style>点伤害	當這顆彈珠被跳過時，將其傷害倍率加成轉移到下一顆彈珠上。清除所有<color="purple">護甲</color>，並對自身造成<style=damage>{[DISCARD_DAMAGE]}</style>點傷害					
Orbs/refresh_on_hold	Refreshes the board while held			Erneuert das Pegfeld beim Halten					当这颗弹珠被储存时，刷新板面	當這顆彈珠被儲存時，刷新板面					
Orbs/shuffle_on_hold	Shuffle <sprite name="CRIT_PEG"> and <sprite name="REFRESH_PEG"> while held			Sortiert beim Holstern <sprite name="CRIT_PEG"> und <sprite name="REFRESH_PEG"> um					当这颗弹珠被储存时，重新刷新 <sprite name="CRIT_PEG"> 和 <sprite name="REFRESH_PEG">	當這顆彈珠被儲存時，重新刷新 <sprite name="CRIT_PEG"> 和 <sprite name="REFRESH_PEG">					
Orbs/multiball_on_hold	Increases <style=multiball>Multiball</style> level by {[MULTIBALL_HOLD_LEVEL]} while held			Erhöht beim Holstern <style=multiball>Multiball</style> level um {[MULTIBALL_HOLD_LEVEL]}					当这颗弹珠被储存时，被发射的弹珠会额外<style=multiball>分裂</style> {[MULTIBALL_HOLD_LEVEL]} 次	當這顆彈珠被儲存時，被發射的彈珠會額外<style=multiball>分裂</style> {[MULTIBALL_HOLD_LEVEL]} 次					
Orbs/lightning_on_hold	Zaps an additional nearby <sprite name="PEG"> every bounce while held			Schockt beim Holstern ein zusätzliches <sprite name="PEG"> in der Nähe bei jedem Springen					当这颗弹珠被储存时，每次击中都将溅射命中附近额外1个 <sprite name="PEG">	當這顆彈珠被儲存時，每次擊中都將濺射命中附近額外1個 <sprite name="PEG">					
Orbs/armor_damage_hold_multiplier	Hold to transfer a <color="purple">{[HOLD_DAMAGE_MULTIPLIER]}</color> multipler instead. Takes away <style=damage>{[ARMOR_HOLD_DAMAGE]}</style> <color="purple">Armor</color> per use	Tenir pour transférer un multiplicateur de <color="purple">{[HOLD_DAMAGE_MULTIPLIER]}</color> à la place. Retire <style=damage>{[ARMOR_HOLD_DAMAGE]}</style> <color="purple">Armure</color> par utilisation		Holstern um einen Schadens-Faktor von<color="purple">{[HOLD_DAMAGE_MULTIPLIER]}</color> zu erhalten. Entfernt pro Benutzung <style=damage>{[ARMOR_HOLD_DAMAGE]}</style> <color="purple">Rüstung</color>					当这颗弹珠被储存时，转移<color="purple">{[HOLD_DAMAGE_MULTIPLIER]}</color>的伤害倍率加成。每次转移减少<style=damage>{[ARMOR_HOLD_DAMAGE]}</style>点<color="purple">护甲</color>	當這顆彈珠被儲存時，轉移<color="purple">{[HOLD_DAMAGE_MULTIPLIER]}</color>的傷害倍率加成。每次轉移減少<style=damage>{[ARMOR_HOLD_DAMAGE]}</style>點<color="purple">護甲</color>					
Orbs/fragile_split	Fragments can split {[FRAGILE_FRAGMENTS]} times before getting destroyed			Fragmente teilen sich bis zu {[FRAGILE_FRAGMENTS]} mal bevor sie zerstört werden				Фрагменты могут распадаться {[FRAGILE_FRAGMENTS]} раз после их разрушения	弹珠碎片在分裂{[FRAGILE_FRAGMENTS]}次后消失	彈珠碎片在分裂{[FRAGILE_FRAGMENTS]}次後消失					
Orbs/fragile_on_hit	Fragments every {[FRAGILE_HITS]} <sprite name="PEG"> hits			Fragmentiert alle {[FRAGILE_HITS]} <sprite name="PEG"> Treffer				Распадается каждые {[FRAGILE_HITS]} <sprite name="PEG"> ударов	每击中{[FRAGILE_HITS]}次 <sprite name="PEG"> ，弹珠将分裂出更小的弹珠碎片	每擊中{[FRAGILE_HITS]}次 <sprite name="PEG"> ，彈珠將分裂出更小的彈珠碎片					
Relics/curse_one_balance_name	Curse I - Balance	Malédiction I - Équilibre		Fluch I - Balance				Проклятие I - Баланс	诅咒 I - 平衡	詛咒 I - 平衡					
Relics/curse_one_balance_desc	<style=damage>Increases enemy health based on the amount of curse relics you have.</style> All attacks get <style=dmg_bonus>+1 /+1</style>.	<style=damage>Augmente la vie des ennemis en fonction du nombre de reliques maudites que vous avez.</style> Toutes vos attaques ont <style=dmg_bonus>+1/+1<style>.		<style=damage>Erhöht das Leben der Gegner pro Fluch Relikt, dass du besitzt.</style> Alle Angriffe erhalten <style=dmg_bonus>+1 /+1</style>.				<style=damage>Увеличивает здоровье врагов в зависимости от количества подобранных проклятых предметов.</style> Все атаки получают <style=dmg_bonus>+1 /+1</style>.	<style=damage>根据拥有的诅咒遗物数量增加敌人的血量。</style>所有攻击造成的<style=dmg_bonus>普通伤害+ 1/暴击伤害+ 1</style>。	<style=damage>根據擁有的詛咒遺物數量增加敵人的血量。 </style>所有攻擊造成的<style=dmg_bonus>普通傷害+ 1/暴擊傷害+ 1</style>。					
Relics/curse_one_attack_name	Curse I - Attack	Malédiction I - Attaque		Fluch I - Angriff				Проклятие I - Атака	诅咒 I - 普攻	詛咒 I - 普攻					
Relics/curse_one_attack_desc	<style=damage>Increases enemy health based on the amount of curse relics you have.</style> All attacks get <style=dmg_bonus>+2 /+0</style>.	<style=damage>Augmente la vie des ennemis en fonction du nombre de reliques maudites que vous avez.</style> Toutes vos attaques ont <style=dmg_bonus>+2/+0<style>.		<style=damage>Erhöht das Leben der Gegner pro Fluch Relikt, dass du besitzt.</style> Alle Angriffe erhalten <style=dmg_bonus>+2 /+0</style>.				<style=damage>Увеличивает здоровье врагов в зависимости от количества подобранных проклятых предметов.</style> Все атаки получают <style=dmg_bonus>+2 /+0</style>.	<style=damage>根据拥有的诅咒遗物数量增加敌人的血量。</style>所有攻击造成的<style=dmg_bonus>普通伤害+ 2/暴击伤害+ 0</style>。	<style=damage>根據擁有的詛咒遺物數量增加敵人的血量。 </style>所有攻擊造成的<style=dmg_bonus>普通傷害+ 2/暴擊傷害+ 0</style>。					
Relics/curse_one_crit_name	Curse I - Crit	Malédiction I - Critique		Fluch I - Kritisch				Проклятие I - Криты	诅咒 I - 暴击	詛咒 I - 暴擊					
Relics/curse_one_crit_desc	<style=damage>Increases enemy health based on the amount of curse relics you have.</style> All attacks get <style=dmg_bonus>+0 /+2</style>.	<style=damage>Augmente la vie des ennemis en fonction du nombre de reliques maudites que vous avez.</style> Toutes vos attaques ont <style=dmg_bonus>+0/+2<style>.		<style=damage>Erhöht das Leben der Gegner pro Fluch Relikt, dass du besitzt.</style> Alle Angriffe erhalten <style=dmg_bonus>+0 /+2</style>.				<style=damage>Увеличивает здоровье врагов в зависимости от количества подобранных проклятых предметов.</style> Все атаки получают <style=dmg_bonus>+0 /+2</style>.	<style=damage>根据拥有的诅咒遗物数量增加敌人的血量。</style>所有攻击造成的<style=dmg_bonus>普通伤害+ 0/暴击伤害+ 2</style>。	<style=damage>根據擁有的詛咒遺物數量增加敵人的血量。 </style>所有攻擊造成的<style=dmg_bonus>普通傷害+ 0/暴擊傷害+ 2</style>。					
Relics/curse_two_health_name	Curse II - Health	Malédiction II - Vie		Fluch II - Leben				Проклятие II - Здоровье	诅咒 II - 血量	詛咒 II - 血量					
Relics/curse_two_health_desc	<style=damage>Healing is halved.</style> Max health increased by <style=heal>25</style>	<style=damage>Soins divisés par 2.</style> Vie maximum augmentée de <style=heal>25<style>.		<style=damage>Heilung ist halbiert.</style> Max Leben erhöht um <style=heal>25</style>				<style=damage>Лечение уменьшено в 2 раза.</style> Максимальное здоровье увеличено на <style=heal>25</style>	<style=damage>治疗量减半。</style>增加<style=heal>25</style>点血量上限。	<style=damage>治療量減半。 </style>增加<style=heal>25</style>點血量上限。					
Relics/curse_two_armor_name	Curse II - Sturdy Armor	Malédiction II - Armure Robuste		Fluch II - Stabile Rüstung				Проклятие II - Крепкая броня	诅咒 II - 重甲	詛咒 II - 重甲					
Relics/curse_two_armor_desc	<style=damage>Healing is halved.</style> Max <color="purple">Armor</color> increased by 5	<style=damage>Soins divisés par 2.</style> <color="purple">Armure</color> maximum augmentée de 5.		<style=damage>Heilung ist halbiert.</style> Max <color="purple">Rüstung</color> wird um  5 erhöht				<style=damage>Лечение уменьшено в 2 раза.</style> Максимальная <color="purple">Броня</color> увеличена на 5	<style=damage>治疗量减半。</style>增加5点<color="purple">护甲</color>上限。	<style=damage>治療量減半。 </style>增加5點<color="purple">護甲</color>上限。					
Relics/curse_two_equip_name	Curse II - Fast Equip	Malédiction II - Équipement Rapide		Fluch II - Regenerative Rüstung				Проклятие II - Быстрая экипировка	诅咒 II - 快速回甲	詛咒 II - 快速回甲					
Relics/curse_two_equip_desc	<style=damage>Healing is halved.</style> Gain 1 <color="purple">Armor</color> every turn	<style=damage>Soins divisés par 2.</style> Ganez 1 d'<color="purple">Armure</color> à chaque tour.		<style=damage>Heilung ist halbiert.</style> Stelle jede Runde 1 <color="purple">Rüstung</color> wieder her				<style=damage>Лечение уменьшено в 2 раза.</style> Получает 1 <color="purple">Броню</color> каждый ход	<style=damage>治疗量减半。</style>每回合获得1点<color="purple">护甲</color>。	<style=damage>治療量減半。 </style>每回合獲得1點<color="purple">護甲</color>。					
Relics/curse_three_bomb_name	Curse III - Bomb	Malédiction III - Bombes		Fluch III - Bombe				Проклятие III - Бомба	诅咒 III - 炸弹	詛咒 III - 炸彈					
Relics/curse_three_bomb_desc	<style=damage>Enemies can regenerate 5% max health each turn.</style> Pegboards start with +2 <sprite name="BOMB">	<style=damage>Les ennemis régénèrent 5% de leur vie maximum à chaque tour.</style> Le tableau commence avec +2 <sprite name="BOMB">		<style=damage>Feinde stellen jede Runde 5% Leben wieder her.</style> Das Pegfeld startet mit +2 <sprite name="BOMB">					<style=damage>敌人每回合恢复5% 血量。</style>初始板面+ 2 <sprite name="BOMB"> 。	<style=damage>敵人每回合恢復5% 血量。 </style>初始板面+ 2 <sprite name="BOMB"> 。					
Relics/curse_three_attack_name	Curse III - Attack	Malédiction III - Attaque		Fluch III - Angriff				Проклятие III - Атака	诅咒 III - 普攻	詛咒 III - 普攻					
Relics/curse_three_attack_desc	<style=damage>Enemies can regenerate 5% max health each turn.</style> All attacks get <style=dmg_bonus>+2 /+0</style>.	<style=damage>Les ennemis régénèrent 5% de leur vie maximum à chaque tour.</style> Toutes les attaques ont <style=dmg_bonus>+2/+0</style>		<style=damage>Feinde stellen jede Runde 5% Leben wieder her.</style> Alle Angriffe erhalten <style=dmg_bonus>+2 /+0</style>.					<style=damage>敌人每回合恢复5% 血量。</style>所有攻击造成的<style=dmg_bonus>普通伤害+ 2/暴击伤害+ 0</style>。	<style=damage>敵人每回合恢復5% 血量。 </style>所有攻擊造成的<style=dmg_bonus>普通傷害+ 2/暴擊傷害+ 0</style>。					
Relics/curse_three_crit_name	Curse III - Crit	Malédiction III - Critique		Fluch III - Kritisch				Проклятие III - Криты	诅咒 III - 暴击	詛咒 III - 暴擊					
Relics/curse_three_crit_desc	<style=damage>Enemies can regenerate 5% max health each turn.</style> All attacks get <style=dmg_bonus>+0 /+2</style>.	<style=damage>Les ennemis régénèrent 5% de leur vie maximum à chaque tour.</style> Toutes les attaques ont <style=dmg_bonus>+0/+2</style>		<style=damage>Feinde stellen jede Runde 5% Leben wieder her.</style>Alle Angriffe erhalten <style=dmg_bonus>+0 /+2</style>.					<style=damage>敌人每回合恢复5% 血量。</style>所有攻击造成的<style=dmg_bonus>普通伤害+ 0/暴击伤害+ 2</style>。	<style=damage>敵人每回合恢復5% 血量。 </style>所有攻擊造成的<style=dmg_bonus>普通傷害+ 0/暴擊傷害+ 2</style>。					
Relics/curse_four_health_name	Curse IV - Health	Malédiction IV - Vie		Fluch IV - Leben				Проклятие IV - Здоровье	诅咒 IV - 血量	詛咒 IV - 血量					
Relics/curse_four_health_desc	<style=damage>Enemies can now gain attack damage on their turn.</style> Max health increased by <style=heal>25</style>	<style=damage>Les ennemis augmente leurs dégâts pendant leur tour.</style> Vie maximum augmentée de <style=heal>25</style>		<style=damage>Gegner können jetzt Angriffschaden erhalten in ihrer Runde.</style> Max Leben erhöht um <style=heal>25</style>					<style=damage>敌人在他们的回合获得攻击加成。</style>增加<style=heal>25</style>点血量上限。	<style=damage>敵人在他們的回合獲得攻擊加成。 </style>增加<style=heal>25</style>點血量上限。					
Relics/curse_four_armor_name	Curse IV - Sturdy Armor	Malédiction IV - Armure Robuste		Fluch IV - Stabile Rüstung					诅咒 IV - 重甲	诅咒 IV - 重甲					
Relics/curse_four_armor_desc	<style=damage>Enemies can now gain attack damage on their turn.</style> Max <color="purple">Armor</color> increased by 5	<style=damage>Les ennemis augmente leurs dégâts pendant leur tour.</style> <color="purple">Armure</color> maximum augmentée de 5.		<style=damage>Gegner können jetzt Angriffschaden erhalten in ihrer Runde.</style> Max <color="purple">Armor</color> increased by 5					<style=damage>敌人在他们的回合获得攻击加成。</style>增加5点<color="purple">护甲</color>上限。	<style=damage>敵人在他們的回合獲得攻擊加成。 </style>增加5點<color="purple">護甲</color>上限。					
Relics/curse_four_equip_name	Curse IV - Fast Equip	Malédiction IV - Équipement Rapide		Fluch IV - Regenerative Rüstung					诅咒 IV - 快速回甲	詛咒 IV - 快速回甲					
Relics/curse_four_equip_desc	<style=damage>Enemies can now gain attack damage on their turn.</style> Gain 1 <color="purple">Armor</color> every turn	<style=damage>Les ennemis augmente leurs dégâts pendant leur tour.</style> Gagne 1 d'<color="purple">Armure</color> à chaque tour.		<style=damage>Gegner können jetzt Angriffschaden erhalten in ihrer Runde.</style> Stelle jede Runde 1 <color="purple">Rüstung</color> wieder her					<style=damage>敌人在他们的回合获得攻击加成。</style>每回合获得1点<color="purple">护甲</color>。	<style=damage>敵人在他們的回合獲得攻擊加成。 </style>每回合獲得1點<color="purple">護甲</color>。					
Relics/curseFiveA_name	Curse V	Malédiction V		Fluch V				Проклятие V	诅咒 V	詛咒 V					
Relics/curseFiveA_desc	<style=damage>Increases the amount of Elite Fights</style>	<style=damage>Augmente le nombre de Mini-Boss</style>		<style=damage>Erhöht die Anzahl der Elite Kämpfe</style>					<style=damage>小型Boss战的数量增多</style>。	<style=damage>小型Boss戰的數量增多</style>。					
Relics/curseFiveB_name	Curse V	Malédiction V		Fluch V				Проклятие V	诅咒 V	詛咒 V					
Relics/curseFiveB_desc	<style=damage>Increases the amount of Elite Fights</style>	<style=damage>Augmente le nombre de Mini-Boss</style>		<style=damage>Erhöht die Anzahl der Elite Kämpfe</style>					<style=damage>小型Boss战的数量增多</style>。	<style=damage>小型Boss戰的數量增多</style>。					
Relics/curseFiveC_name	Curse V	Malédiction V		Fluch V				Проклятие V	诅咒 V	詛咒 V					
Relics/curseFiveC_desc	<style=damage>Increases the amount of Elite Fights</style>	<style=damage>Augmente le nombre de Mini-Boss</style>		<style=damage>Erhöht die Anzahl der Elite Kämpfe</style>					<style=damage>小型Boss战的数量增多</style>。	<style=damage>小型Boss戰的數量增多</style>。					
Relics/holster_name	Holster	Étui 		Holster				Кобура	枪套	槍套					
Relics/holster_desc	Removes the ability to discard and instead allows you to hold orbs	Retire la possibilité de jeter une orbe, mais vous pouvez dorénavant les "tenir".		Ersetzt die Fähigkeit Orbs abzuwerfen und erlaubt stattdessen das Holstern eines Orbs				Убирает возможность выкидывать шары, заместо этого добавляет возможность держать их	将跳过弹珠功能替换为储存弹珠。	將跳過彈珠功能替換為儲存彈珠。					
Relics/holster_desc2	Unlocks the ability to hold orbs. Some orbs give additional benefits while held			Schaltet die Fähigkeit frei, Orbs zu holstern. Einige Orbs haben Boni wenn sie gehalten werden					增加储存弹珠的能力。有些弹珠在被储存时，会给予被发射的弹珠额外的效果。	增加儲存彈珠的能力。有些彈珠在被儲存時，會給予被發射的彈珠額外的效果。					
Relics/wumbo_name	Wumbo Belt			Wumbo Gürtel					巨大腰带	巨大腰帶					
Relics/wumbo_desc	Enlarges your orb			Vergrößert deine Orbs				Увеличивает ваш шар	使你的弹珠变大。	使你的彈珠變大。					
Relics/mini_name	Mini Belt			Mini Gürtel				Мини ремешок	迷你腰带	迷你腰帶					
Relics/mini_desc	Shrinks your orb			Verkleinert deine Orbs				Уменьшает ваш шар	使你的弹珠变小。	使你的彈珠變小。					
Relics/kill_button_name	Kill Button			Terminierungs-Knopf					清除弹珠按钮	清除彈珠按鈕					
Relics/kill_button_desc	Press to end your turn early. Recharges every reload			Drücken um deine Runde vorzeitig zu beenden. Erneuert sich beim Nachladen				Нажми что-бы закончить свой ход раньше. Перезаряжается каждую перезарядку	增加一个提前结束回合的按钮，重装弹珠以恢复其冷却。	增加一個提前結束回合的按鈕，重裝彈珠以恢復其冷卻。					
Relics/plasma_ball_name	Plasma Ball			Plasma Ball				Плазма шар	等离子化	等離子化					
Relics/plasma_ball_desc	Zaps up to an additional {[ADDITIONAL_LIGHTNING_ZAPS]} <sprite name="PEG"> every {[PLASMA_PEG_HITS]} <sprite name="PEG"> hit			Schockt bis zu {[ADDITIONAL_LIGHTNING_ZAPS]} <sprite name="PEG"> alle {[PLASMA_PEG_HITS]} <sprite name="PEG"> Treffer					每击中{[PLASMA_PEG_HITS]}次 <sprite name="PEG"> ，将溅射命中附近额外最多{[ADDITIONAL_LIGHTNING_ZAPS]}个 <sprite name="PEG"> 。	每擊中{[PLASMA_PEG_HITS]}次 <sprite name="PEG"> ，將濺射命中附近額外最多{[ADDITIONAL_LIGHTNING_ZAPS]}個 <sprite name="PEG"> 。					
Relics/single_item_pool_name	Chaos			Chaos				Хаос	无序	無序					
Relics/single_item_pool_desc	Removes rarity from all relics			Entfernt Seltenheit von allen Relikten				Убирает проклятия с каждого предмета	使所有遗物的稀有度相同。	使所有遺物的稀有度相同。					
Relics/weighted_item_pool_name	Order			Reihenfolge				Порядок	有序	有序					
Relics/weighted_item_pool_desc	You are more likely to find relics similar to the ones you own			Du findest häufiger Relikte die ähnlich zu deinen Bisherigen sind				Повышается шанс на поиск предметов схожих на тех которые у вас уже есть	更容易获得与你拥有的遗物类似的遗物。	更容易獲得與你擁有的遺物類似的遺物。					
Relics/gravity_change_name	Reality Marble			Realitäts Murmel				Шарик Реальности	现实结界	現實結界					
Relics/gravity_change_desc	Changes the direction of gravity every {[GRAVITY_CHANGE_TIME]} seconds			Ändert die Richtung der Schwerkraft alle {[GRAVITY_CHANGE_TIME]} Sekunden				Меняет направление гравитации каждые {[GRAVITY_CHANGE_TIME]} секунды	每{[GRAVITY_CHANGE_TIME]}秒改变一次重力的方向。	每{[GRAVITY_CHANGE_TIME]}秒改變一次重力的方向。					
Relics/reduced_gravity_name	Pocket Moon			Taschen Mond				Карманная луна	月亮	月亮					
Relics/reduced_gravity_desc	Reduces total gravity by {[GRAVITY_REDUCTION]}			Reduziert die gesamte Schwerkraft um {[GRAVITY_REDUCTION]}				Уменьшает гравитацию на {[GRAVITY_REDUCTION]}	减少{[GRAVITY_REDUCTION]} 重力。	減少{[GRAVITY_REDUCTION]} 重力。					
Relics/damage_bonus_plant_flat_desc_promethium	Attacks deal <style=dmg_bonus>+{[ADDITIONAL_PLANT_DAMAGE]} damage</style> to plants. Increases <color="purple">Maximum Armor</color> by <color="purple">5</color> and gain <color="purple">1 Armor</color> every turn	Les attaques font <style=dmg_bonus>+{[ADDITIONAL_PLANT_DAMAGE]} dégâts</style> aux plantes. Augmente l'<color="purple">Armure Maximum</color> de <color="purple">5</color> et régénère <color="purple">1 Armor</color> à chaque tour.		Angriffe fügen Pflanzen <style=dmg_bonus>+{[ADDITIONAL_PLANT_DAMAGE]} Schaden</style> zu. Erhöht <color="purple">max Rüstung</color> um <color="purple">5</color> und erhalte <color="purple">1 Rüstung</color> pro Runde					对植物类敌人造成的<style=dmg_bonus>伤害+ {[ADDITIONAL_PLANT_DAMAGE]}</style>。<color="purple">护甲上限</color>+ <color="purple">5</color>。每回合获得<color="purple">1</color>点<color="purple">护甲</color>。	對植物類敵人造成的<style=dmg_bonus>傷害+ {[ADDITIONAL_PLANT_DAMAGE]}</style>。 <color="purple">護甲上限</color>+ <color="purple">5</color>。每回合獲得<color="purple">1</color>點<color="purple">護甲</color>。					
Relics/all_orbs_buff_desc_promethium	Every <sprite name=PEG> popped gets upgraded <style=dmg_bonus>(+{[ALL_ORBS_BUFF_AMOUNT]} damage)</style>.	Chaque <sprite name=PEG> éclaté est amélioré de <style=dmg_bonus>(+{[ALL_ORBS_BUFF_AMOUNT]} dégâts)</style>.		Jedes aufgelöste <sprite name=PEG> wird verbessert mit <style=dmg_bonus>(+{[ALL_ORBS_BUFF_AMOUNT]} Schaden)</style>.					每次击中的 <sprite name=PEG> 都将得到升级<style=dmg_bonus>（伤害+ {[ALL_ORBS_BUFF_AMOUNT]}）</style>。	每次擊中的 <sprite name=PEG> 都將得到升級<style=dmg_bonus>（傷害+ {[ALL_ORBS_BUFF_AMOUNT]}）</style>。					
Relics/no_discard_desc_promethium	You can no longer discard orbs or exhange held orbs, but attacks do {[NO_DISCARD_MULTIPLIER]} more damage per discard removed. {[NO_DISCARD_MULTIPLIER_VALUE]} 			Du kanst keine Orbs mehr abwerfen oder geholsterte Orbs austauschen, aber Angriffe fügen {[NO_DISCARD_MULTIPLIER]} mehr Schaden zu für jeden verlorenen Abwurf. {[NO_DISCARD_MULTIPLIER_VALUE]} 					你无法跳过弹珠或储存弹珠，但每因此减少一次跳过弹珠的次数，所有攻击额外造成{[NO_DISCARD_MULTIPLIER]} 的伤害。{[NO_DISCARD_MULTIPLIER_VALUE]}	你無法跳過彈珠或儲存彈珠，但每因此減少一次跳過彈珠的次數，所有攻擊額外造成{[NO_DISCARD_MULTIPLIER]} 的傷害。 {[NO_DISCARD_MULTIPLIER_VALUE]}					
